02360,48083,68979,50238,68854,24442,07524,45628,49654,68739
13802,33772,85055,44060,41746,67214,46391,18049,92025,15744
21679,04220,38260,29915,47805,97448,56455,60563,75001,75202
54747,03768,18913,02822,85715,63433,44830,85292,59701,25039
12491,83839,12865,31120,29036,98826,64750,33843,45205,68976
67871,56744,92401,53516,08510,30153,24282,83013,63556,35456
35739,98108,32110,75094,63061,41621,73117,97321,02894,98304
78478,13077,77482,40828,24102,10281,29525,48739,33635,68938
11704,68106,80510,47861,81039,74428,32317,33351,76470,69033
20148,27809,80906,60304,29624,70554,70763,72740,36436,33890
17104,65443,60142,04417,49782,21085,67055,43044,05744,63133
70632,92277,74954,44012,21113,40220,23430,88352,41548,36860
47030,85222,14420,71118,71302,57108,43556,07737,59501,61540
13126,21261,42324,61801,93254,27217,52754,53023,27508,44705
18817,97322,70358,38106,35126,64783,55935,52727,28369,14610
25848,54027,97351,29617,63638,56224,84651,45669,55107,24283
77995,10123,29708,19956,77046,02542,50604,68506,68769,64062
04462,04685,62656,93950,72432,46321,37097,12047,55424,60173
79108,50042,32564,59720,86334,58849,85242,08820,60966,45620
85016,30087,02667,06497,75558,16226,65804,49305,27617,31326
23236,24715,98542,28016,23314,28634,78016,66522,57056,49079
06762,35565,31764,14546,56621,80234,12522,44654,55343,30376
75409,31601,77097,40177,27019,10028,14024,66418,38450,28167
22721,37388,63088,61477,29426,29571,43006,63117,30802,76177
30507,35178,38943,45414,68952,04280,90069,41124,20746,25965
33439,94024,73463,78055,81623,62853,19505,97731,90280,48312
49088,45427,26060,39862,24441,46544,33993,33012,20817,49743
76137,14550,48863,47550,48044,46939,80446,50510,39759,01702
94582,92070,81127,56312,56736,42338,07460,58542,42023,49913
15235,45502,21635,98596,28377,74452,89420,72301,71768,37869
04076,97826,46570,71427,41051,19113,04859,55419,08234,34141
54130,07724,93728,83243,66952,75941,63783,46932,85279,98332
52583,37687,49685,69001,87116,14058,85231,73703,76014,51632
61501,75704,44418,48187,75245,08752,18421,56371,29729,54140
40456,47631,61301,27854,21850,05362,67491,48167,23837,80758
90305,85278,94619,04679,37726,91383,31542,12878,83341,32009
23454,58771,92133,44106,75431,84049,70062,46563,46710,68881
65286,42133,59452,16636,02882,45387,54970,32606,10035,68933
59873,74540,08828,74652,57720,55128,32544,97410,85294,56511
03605,61727,92356,26230,55604,59626,33980,88417,15905,91342
17301,48176,82923,71447,15142,85307,44505,50039,85219,26136
04351,85141,92563,46803,91024,86036,33823,75835,07621,29468
53211,65355,29376,11701,02031,56534,94085,53040,82242,50256
37353,16332,13044,97640,63438,67332,65567,65608,57256,65657
71034,41055,98028,95977,66839,56686,49461,72762,84144,38730
85227,77345,18332,74421,37692,17066,62321,28651,14301,69037
96010,42728,02066,51449,95607,73834,64086,30076,11788,60607
54561,70342,94937,19127,04535,01506,03031,19530,25508,44611
56758,63109,22101,21005,56573,59061,19129,48188,17509,23153
01590,49775,51351,52404,72120,30363,68415,27053,07058,04925
33034,43340,67004,11545,71970,59464,31323,18202,04765,30093
01945,15225,30187,41095,36910,63937,67423,64469,46168,24961
94114,50484,33060,15288,29821,06784,15679,58712,24333,46805
36474,73549,65629,39483,30073,23222,80904,13778,29453,53717
97071,73121,42327,36790,16802,19422,27258,04732,85230,44846
47874,43917,23113,01195,92860,26851,50681,54024,81657,48770
68980,41008,06066,21636,41815,21054,70749,53091,59052,62036
83435,37181,80455,59347,07874,06812,20165,76120,48884,06401
73073,62375,36454,55976,85218,24910,67019,68453,62914,14925
63873,40209,01775,20684,82510,05486,38108,79405,57430,55955
11370,54911,60402,22027,66710,93527,29020,33909,23128,33782
16852,33903,14416,30350,05068,70816,70421,32782,97358,78416
84521,07642,78109,58012,11235,04853,20877,01721,21161,23831
16852,33903,14416,30350,05068,70816,70421,32782,97358,78416
84521,07642,78109,58012,11235,04853,20877,01721,21161,23831
47453,07054,61545,56437,24634,41528,44641,98077,27564,68838
57438,37752,71973,76640,24077,93257,87317,97117,15273,79752
43067,85239,27054,60131,74011,97486,73093,87121,93202,17113
68380,41812,70450,02139,83011,55063,72846,38382,80611,97736
97111,74738,24938,60468,33570,25932,68343,65054,87537,48043
47104,64486,49938,88081,15909,12962,27545,28357,63735,61342
91752,49065,12787,61413,65550,47125,29678,85220,78041,84050
18635,38454,02043,10803,62880,68662,98670,38201,89121,63963
63136,43119,40037,97014,68970,14878,46706,70128,66739,06031
29322,27376,10036,29936,78252,22736,44431,79320,36441,27829
78216,18850,07722,47864,33433,85543,10804,48767,63137,17814
30527,77044,58448,68833,64730,24088,54228,93410,33040,48028
98492,32955,32724,44074,39341,25702,49840,17864,95917,93212
21871,40999,10038,60652,65556,55607,54655,67068,84120,16507
21648,10530,05086,38966,30347,34480,38315,20659,35824,75080
50264,48348,58845,40178,59211,83226,27233,47401,11236,76116
85348,46917,46268,85223,94706,81223,57003,07945,36912,18051
73454,56336,93656,46037,22820,75446,75452,79905,08086,75025
98171,38225,10605,49854,39701,42303,38356,13118,64147,50251
93449,17738,29479,66432,04261,12846,33477,29706,37303,91006
56101,40040,23149,35630,69043,98499,64789,65776,96032,02673
53224,89135,10044,98601,08505,32908,05842,33756,49419,92084
75161,32680,51526,22433,25124,15501,19138,60026,48883,65701
67751,95528,85264,06101,48357,61001,83245,74644,97299,49633
33868,63830,89054,28386,97814,16052,31519,15535,68820,53559
62920,41722,15931,41086,57325,21824,14037,29902,55783,04105
07852,63829,43004,53538,97435,50638,12545,45408,43231,33312
95815,66070,87522,80014,85625,19363,17529,59801,25389,19534
78642,30911,98682,23930,04686,48164,51431,28472,29355,17501
84309,46240,23845,71119,33144,73501,62902,78470,18622,70436
53005,64641,54462,48150,71353,69168,95690,51003,71862,36501
44024,03264,05661,90302,47353,10928,32137,31824,71069,93927
10200,75770,43773,67510,32907,80515,95659,10954,29385,27959
08097,54446,51026,98222,38459,27310,53520,75240,21659,84052
37245,80019,62694,33155,18702,96040,48097,37367,80812,01032
60045,95463,30656,85268,77510,52570,55126,89134,98258,28746
87063,43163,45146,19362,03036,61533,77385,44473,56082,55957
27299,53955,97482,58002,05663,91203,45121,91344,08701,39145
94931,45302,46162,48174,56353,30506,14781,95228,20107,93646
62835,85012,16430,91390,21862,90046,48138,58632,21776,33596
16415,72440,57762,15210,54650,98443,24594,34982,16102,98442
46614,21627,37076,10607,81610,27822,62627,50124,27011,95465
61310,73650,58244,14209,15564,74059,33690,46968,59324,92027
43149,38553,47137,72015,81239,92054,15437,29638,95314,54426
98223,14606,62962,74872,64172,85638,36370,80828,78404,52247
49861,08852,66963,59917,11206,19462,91351,57719,62016,04756
38227,79080,48067,75633,24517,50621,87108,05482,62948,52765
64623,56467,04093,98512,33428,04614,75460,16510,96123,26070
21206,87028,98241,25703,56264,54409,98675,34996,59540,54452
37055,43504,72447,44308,63560,15203,43315,39356,08225,78262
72157,44502,97390,05360,13164,92111,03826,80913,85272,62450
18902,85718,68107,54868,63389,98538,54418,15301,17551,17752
66740,62803,59337,31419,51447,16033,93060,32308,58650,15774
71652,36726,95945,95635,62047,54411,14435,82925,14733,14008
01420,71639,90501,74849,36761,04043,37317,12208,97211,98833
32324,05456,85335,70631,03855,62530,72949,26101,48835,85303
52574,29505,22535,25823,62890,53705,56282,80121,85217,56649
27932,26327,77541,12529,78052,78476,49099,12827,03830,95982
03588,33706,06088,40175,94947,97107,16918,37145,73749,28103
12732,46220,28217,70057,61491,58653,22904,97472,12117,36089
58520,38582,04222,24536,11358,08035,04263,28110,44322,43410
